api_name op_name file_path
tf.raw_ops.Abort AbortOp /home/sjy/code/tensorflow/tensorflow/core/kernels/control_flow_ops.cc
tf.raw_ops.Abs UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.AccumulatorApplyGradient AccumulatorApplyGradientOp /home/sjy/code/tensorflow/tensorflow/core/kernels/conditional_accumulator_op.cc
tf.raw_ops.AccumulatorNumAccumulated AccumulatorNumAccumulatedOp /home/sjy/code/tensorflow/tensorflow/core/kernels/conditional_accumulator_base_op.cc
tf.raw_ops.AccumulatorSetGlobalStep AccumulatorSetGlobalStepOp /home/sjy/code/tensorflow/tensorflow/core/kernels/conditional_accumulator_base_op.cc
tf.raw_ops.AccumulatorTakeGradient AccumulatorTakeGradientOp /home/sjy/code/tensorflow/tensorflow/core/kernels/conditional_accumulator_op.cc
tf.raw_ops.Acos UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.Acosh UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.Add BinaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.AddManySparseToTensorsMap AddManySparseToTensorsMapOp /home/sjy/code/tensorflow/tensorflow/core/kernels/sparse_tensors_map_ops.cc
tf.raw_ops.AddSparseToTensorsMap AddSparseToTensorsMapOp /home/sjy/code/tensorflow/tensorflow/core/kernels/sparse_tensors_map_ops.cc
tf.raw_ops.AddV2 BinaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.AdjustContrastv2 AdjustContrastOpV2Base /home/sjy/code/tensorflow/tensorflow/core/kernels/image/adjust_contrast_op.cc
tf.raw_ops.AdjustHue AdjustHueOpBase /home/sjy/code/tensorflow/tensorflow/core/kernels/image/adjust_hue_op.cc
tf.raw_ops.AdjustSaturation AdjustSaturationOpBase /home/sjy/code/tensorflow/tensorflow/core/kernels/image/adjust_saturation_op.cc
tf.raw_ops.All ReductionOp /home/sjy/code/tensorflow/tensorflow/core/kernels/reduction_ops_common.cc
tf.raw_ops.AllCandidateSampler BaseCandidateSamplerOp /home/sjy/code/tensorflow/tensorflow/core/kernels/candidate_sampler_ops.cc
tf.raw_ops.Angle UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.AnonymousHashTable AnonymousLookupTableOp /home/sjy/code/tensorflow/tensorflow/core/kernels/lookup_table_op.cc
tf.raw_ops.AnonymousIterator AnonymousIteratorHandleOp /home/sjy/code/tensorflow/tensorflow/core/kernels/data/iterator_ops.cc
tf.raw_ops.AnonymousIteratorV2 AnonymousIteratorHandleOp /home/sjy/code/tensorflow/tensorflow/core/kernels/data/iterator_ops.cc
tf.raw_ops.AnonymousIteratorV3 AnonymousIteratorHandleOp /home/sjy/code/tensorflow/tensorflow/core/kernels/data/iterator_ops.cc
tf.raw_ops.AnonymousMemoryCache AnonymousMemoryCacheHandleOp /home/sjy/code/tensorflow/tensorflow/core/kernels/data/cache_ops.cc
tf.raw_ops.AnonymousMultiDeviceIterator AnonymousMultiDeviceIteratorOp /home/sjy/code/tensorflow/tensorflow/core/kernels/data/multi_device_iterator_ops.cc
tf.raw_ops.AnonymousMultiDeviceIteratorV3 AnonymousMultiDeviceIteratorOp /home/sjy/code/tensorflow/tensorflow/core/kernels/data/multi_device_iterator_ops.cc
tf.raw_ops.AnonymousMutableDenseHashTable AnonymousLookupTableOp /home/sjy/code/tensorflow/tensorflow/core/kernels/lookup_table_op.cc
tf.raw_ops.AnonymousMutableHashTable AnonymousLookupTableOp /home/sjy/code/tensorflow/tensorflow/core/kernels/lookup_table_op.cc
tf.raw_ops.AnonymousMutableHashTableOfTensors AnonymousLookupTableOp /home/sjy/code/tensorflow/tensorflow/core/kernels/lookup_table_op.cc
tf.raw_ops.AnonymousRandomSeedGenerator AnonymousSeedGeneratorHandleOp /home/sjy/code/tensorflow/tensorflow/core/kernels/data/random_seed_ops.cc
tf.raw_ops.AnonymousSeedGenerator AnonymousSeedGeneratorHandleOp /home/sjy/code/tensorflow/tensorflow/core/kernels/data/random_seed_ops.cc
tf.raw_ops.Any ReductionOp /home/sjy/code/tensorflow/tensorflow/core/kernels/reduction_ops_common.cc
tf.raw_ops.ApplyAdaMax ApplyAdaMaxOp /home/sjy/code/tensorflow/tensorflow/core/kernels/training_ops.cc
tf.raw_ops.ApplyAdadelta ApplyAdadeltaOp /home/sjy/code/tensorflow/tensorflow/core/kernels/training_ops.cc
